tBodyAcc-mean()-X					Body Acceleration mean()-X
fBodyAccJerk-entropy()-Z			Fourier Body Acceleration Jerk entropy()-Z
fBodyAccJerk-maxInds-X				Fourier Body Acceleration Jerk Max index-X
fBodyAccJerk-maxInds-Y				Fourier Body Acceleration Jerk Max index-Y
fBodyAccJerk-maxInds-Z				Fourier Body Acceleration Jerk Max index-Z
fBodyAccJerk-meanFreq()-X			Fourier Body Acceleration Jerk meanFreq()-X
fBodyAccJerk-meanFreq()-Y			Fourier Body Acceleration Jerk meanFreq()-Y
fBodyAccJerk-meanFreq()-Z			Fourier Body Acceleration Jerk meanFreq()-Z
fBodyAccJerk-skewness()-X			Fourier Body Acceleration Jerk skewness()-X
fBodyAccJerk-kurtosis()-X			Fourier Body Acceleration Jerk kurtosis()-X
fBodyAccJerk-skewness()-Y			Fourier Body Acceleration Jerk skewness()-Y
fBodyAccJerk-kurtosis()-Y			Fourier Body Acceleration Jerk kurtosis()-Y
fBodyAccJerk-skewness()-Z			Fourier Body Acceleration Jerk skewness()-Z
fBodyAccJerk-kurtosis()-Z			Fourier Body Acceleration Jerk kurtosis()-Z
fBodyAccJerk-bandsEnergy()-1,8		Fourier Body Acceleration Jerk bandsEnergy()-1,8
fBodyAccJerk-bandsEnergy()-9,16		Fourier Body Acceleration Jerk bandsEnergy()-9,16
fBodyAccJerk-bandsEnergy()-17,24	Fourier Body Acceleration Jerk bandsEnergy()-17,24
fBodyAccJerk-bandsEnergy()-25,32	Fourier Body Acceleration Jerk bandsEnergy()-25,32                  
fBodyAccJerk-bandsEnergy()-33,40	Fourier Body Acceleration Jerk bandsEnergy()-33,40
fBodyAccJerk-bandsEnergy()-41,48	Fourier Body Acceleration Jerk bandsEnergy()-41,48
fBodyAccJerk-bandsEnergy()-49,56	Fourier Body Acceleration Jerk bandsEnergy()-49,56
fBodyAccJerk-bandsEnergy()-57,64	Fourier Body Acceleration Jerk bandsEnergy()-57,64
fBodyAccJerk-bandsEnergy()-1,16		Fourier Body Acceleration Jerk bandsEnergy()-1,16
fBodyAccJerk-bandsEnergy()-17,32	Fourier Body Acceleration Jerk bandsEnergy()-17,32
fBodyAccJerk-bandsEnergy()-33,48	Fourier Body Acceleration Jerk bandsEnergy()-33,48
fBodyAccJerk-bandsEnergy()-49,64	Fourier Body Acceleration Jerk bandsEnergy()-49,64
fBodyAccJerk-bandsEnergy()-1,24		Fourier Body Acceleration Jerk bandsEnergy()-1,24
fBodyAccJerk-bandsEnergy()-25,48	Fourier Body Acceleration Jerk bandsEnergy()-25,48
fBodyAccJerk-bandsEnergy()-1,8		Fourier Body Acceleration Jerk bandsEnergy()-1,8
fBodyAccJerk-bandsEnergy()-9,16		Fourier Body Acceleration Jerk bandsEnergy()-9,16
fBodyAccJerk-bandsEnergy()-17,24	Fourier Body Acceleration Jerk bandsEnergy()-17,24
fBodyAccJerk-bandsEnergy()-25,32	Fourier Body Acceleration Jerk bandsEnergy()-25,32
fBodyAccJerk-bandsEnergy()-33,40	Fourier Body Acceleration Jerk bandsEnergy()-33,40
fBodyAccJerk-bandsEnergy()-41,48	Fourier Body Acceleration Jerk bandsEnergy()-41,48                  
fBodyAccJerk-bandsEnergy()-49,56	Fourier Body Acceleration Jerk bandsEnergy()-49,56
fBodyAccJerk-bandsEnergy()-57,64	Fourier Body Acceleration Jerk bandsEnergy()-57,64
fBodyAccJerk-bandsEnergy()-1,16		Fourier Body Acceleration Jerk bandsEnergy()-1,16
fBodyAccJerk-bandsEnergy()-17,32	Fourier Body Acceleration Jerk bandsEnergy()-17,32
fBodyAccJerk-bandsEnergy()-33,48	Fourier Body Acceleration Jerk bandsEnergy()-33,48
fBodyAccJerk-bandsEnergy()-49,64	Fourier Body Acceleration Jerk bandsEnergy()-49,64
fBodyAccJerk-bandsEnergy()-1,24		Fourier Body Acceleration Jerk bandsEnergy()-1,24
fBodyAccJerk-bandsEnergy()-25,48	Fourier Body Acceleration Jerk bandsEnergy()-25,48
fBodyAccJerk-bandsEnergy()-1,8		Fourier Body Acceleration Jerk bandsEnergy()-1,8
fBodyAccJerk-bandsEnergy()-9,16		Fourier Body Acceleration Jerk bandsEnergy()-9,16
fBodyAccJerk-bandsEnergy()-17,24	Fourier Body Acceleration Jerk bandsEnergy()-17,24
fBodyAccJerk-bandsEnergy()-25,32	Fourier Body Acceleration Jerk bandsEnergy()-25,32
fBodyAccJerk-bandsEnergy()-33,40	Fourier Body Acceleration Jerk bandsEnergy()-33,40
fBodyAccJerk-bandsEnergy()-41,48	Fourier Body Acceleration Jerk bandsEnergy()-41,48
fBodyAccJerk-bandsEnergy()-49,56	Fourier Body Acceleration Jerk bandsEnergy()-49,56
fBodyAccJerk-bandsEnergy()-57,64	Fourier Body Acceleration Jerk bandsEnergy()-57,64
fBodyAccJerk-bandsEnergy()-1,16		Fourier Body Acceleration Jerk bandsEnergy()-1,16
fBodyAccJerk-bandsEnergy()-17,32	Fourier Body Acceleration Jerk bandsEnergy()-17,32
fBodyAccJerk-bandsEnergy()-33,48	Fourier Body Acceleration Jerk bandsEnergy()-33,48
fBodyAccJerk-bandsEnergy()-49,64	Fourier Body Acceleration Jerk bandsEnergy()-49,64
fBodyAccJerk-bandsEnergy()-1,24		Fourier Body Acceleration Jerk bandsEnergy()-1,24
fBodyAccJerk-bandsEnergy()-25,48	Fourier Body Acceleration Jerk bandsEnergy()-25,48
fBodyGyro-mean()-X					Fourier Body Gyro mean()-X
fBodyGyro-mean()-Y					Fourier Body Gyro mean()-Y
fBodyGyro-mean()-Z					Fourier Body Gyro mean()-Z
fBodyGyro-std()-X					Fourier Body Gyro Standard deviation()-X
fBodyGyro-std()-Y					Fourier Body Gyro Standard deviation()-Y
fBodyGyro-std()-Z					Fourier Body Gyro Standard deviation()-Z
fBodyGyro-mad()-X					Fourier Body Gyro Median absolute deviation()-X                     
fBodyGyro-mad()-Y					Fourier Body Gyro Median absolute deviation()-Y
fBodyGyro-mad()-Z					Fourier Body Gyro Median absolute deviation()-Z
fBodyGyro-max()-X					Fourier Body Gyro max()-X
fBodyGyro-max()-Y					Fourier Body Gyro max()-Y
fBodyGyro-max()-Z					Fourier Body Gyro max()-Z
fBodyGyro-min()-X					Fourier Body Gyro min()-X
fBodyGyro-min()-Y					Fourier Body Gyro min()-Y
fBodyGyro-min()-Z					Fourier Body Gyro min()-Z
fBodyGyro-sma()						Fourier Body Gyro Signal magnitude area()
fBodyGyro-energy()-X				Fourier Body Gyro energy()-X
fBodyGyro-energy()-Y				Fourier Body Gyro energy()-Y
fBodyGyro-energy()-Z				Fourier Body Gyro energy()-Z
fBodyGyro-iqr()-X					Fourier Body Gyro Interquartile range()-X
fBodyGyro-iqr()-Y					Fourier Body Gyro Interquartile range()-Y
fBodyGyro-iqr()-Z					Fourier Body Gyro Interquartile range()-Z
fBodyGyro-entropy()-X				Fourier Body Gyro entropy()-X
fBodyGyro-entropy()-Y				Fourier Body Gyro entropy()-Y
fBodyGyro-entropy()-Z				Fourier Body Gyro entropy()-Z
fBodyGyro-maxInds-X					Fourier Body Gyro Max index-X
fBodyGyro-maxInds-Y					Fourier Body Gyro Max index-Y
fBodyGyro-maxInds-Z					Fourier Body Gyro Max index-Z
fBodyGyro-meanFreq()-X				Fourier Body Gyro meanFreq()-X
fBodyGyro-meanFreq()-Y				Fourier Body Gyro meanFreq()-Y
fBodyGyro-meanFreq()-Z				Fourier Body Gyro meanFreq()-Z
fBodyGyro-skewness()-X				Fourier Body Gyro skewness()-X
fBodyGyro-kurtosis()-X				Fourier Body Gyro kurtosis()-X
fBodyGyro-skewness()-Y				Fourier Body Gyro skewness()-Y
fBodyGyro-kurtosis()-Y				Fourier Body Gyro kurtosis()-Y
fBodyGyro-skewness()-Z				Fourier Body Gyro skewness()-Z
fBodyGyro-kurtosis()-Z				Fourier Body Gyro kurtosis()-Z
fBodyGyro-bandsEnergy()-1,8			Fourier Body Gyro bandsEnergy()-1,8
fBodyGyro-bandsEnergy()-9,16		Fourier Body Gyro bandsEnergy()-9,16
fBodyGyro-bandsEnergy()-17,24		Fourier Body Gyro bandsEnergy()-17,24
fBodyGyro-bandsEnergy()-25,32		Fourier Body Gyro bandsEnergy()-25,32
fBodyGyro-bandsEnergy()-33,40		Fourier Body Gyro bandsEnergy()-33,40
fBodyGyro-bandsEnergy()-41,48		Fourier Body Gyro bandsEnergy()-41,48
fBodyGyro-bandsEnergy()-49,56		Fourier Body Gyro bandsEnergy()-49,56
fBodyGyro-bandsEnergy()-57,64		Fourier Body Gyro bandsEnergy()-57,64
fBodyGyro-bandsEnergy()-1,16		Fourier Body Gyro bandsEnergy()-1,16
fBodyGyro-bandsEnergy()-17,32		Fourier Body Gyro bandsEnergy()-17,32
fBodyGyro-bandsEnergy()-33,48		Fourier Body Gyro bandsEnergy()-33,48
fBodyGyro-bandsEnergy()-49,64		Fourier Body Gyro bandsEnergy()-49,64
fBodyGyro-bandsEnergy()-1,24		Fourier Body Gyro bandsEnergy()-1,24
fBodyGyro-bandsEnergy()-25,48		Fourier Body Gyro bandsEnergy()-25,48
fBodyGyro-bandsEnergy()-1,8			Fourier Body Gyro bandsEnergy()-1,8
fBodyGyro-bandsEnergy()-9,16		Fourier Body Gyro bandsEnergy()-9,16
fBodyGyro-bandsEnergy()-17,24		Fourier Body Gyro bandsEnergy()-17,24                               
fBodyGyro-bandsEnergy()-25,32		Fourier Body Gyro bandsEnergy()-25,32
fBodyGyro-bandsEnergy()-33,40		Fourier Body Gyro bandsEnergy()-33,40
fBodyGyro-bandsEnergy()-41,48		Fourier Body Gyro bandsEnergy()-41,48
fBodyGyro-bandsEnergy()-49,56		Fourier Body Gyro bandsEnergy()-49,56                               
fBodyGyro-bandsEnergy()-57,64		Fourier Body Gyro bandsEnergy()-57,64
fBodyGyro-bandsEnergy()-1,16		Fourier Body Gyro bandsEnergy()-1,16
fBodyGyro-bandsEnergy()-17,32		Fourier Body Gyro bandsEnergy()-17,32
fBodyGyro-bandsEnergy()-33,48		Fourier Body Gyro bandsEnergy()-33,48
fBodyGyro-bandsEnergy()-49,64		Fourier Body Gyro bandsEnergy()-49,64
fBodyGyro-bandsEnergy()-1,24		Fourier Body Gyro bandsEnergy()-1,24
fBodyGyro-bandsEnergy()-25,48		Fourier Body Gyro bandsEnergy()-25,48
fBodyGyro-bandsEnergy()-1,8			Fourier Body Gyro bandsEnergy()-1,8
fBodyGyro-bandsEnergy()-9,16		Fourier Body Gyro bandsEnergy()-9,16
fBodyGyro-bandsEnergy()-17,24		Fourier Body Gyro bandsEnergy()-17,24
fBodyGyro-bandsEnergy()-25,32		Fourier Body Gyro bandsEnergy()-25,32
fBodyGyro-bandsEnergy()-33,40		Fourier Body Gyro bandsEnergy()-33,40
fBodyGyro-bandsEnergy()-41,48		Fourier Body Gyro bandsEnergy()-41,48
fBodyGyro-bandsEnergy()-49,56		Fourier Body Gyro bandsEnergy()-49,56
fBodyGyro-bandsEnergy()-57,64		Fourier Body Gyro bandsEnergy()-57,64
fBodyGyro-bandsEnergy()-1,16		Fourier Body Gyro bandsEnergy()-1,16
fBodyGyro-bandsEnergy()-17,32		Fourier Body Gyro bandsEnergy()-17,32
fBodyGyro-bandsEnergy()-33,48		Fourier Body Gyro bandsEnergy()-33,48
fBodyGyro-bandsEnergy()-49,64		Fourier Body Gyro bandsEnergy()-49,64
fBodyGyro-bandsEnergy()-1,24		Fourier Body Gyro bandsEnergy()-1,24
fBodyGyro-bandsEnergy()-25,48		Fourier Body Gyro bandsEnergy()-25,48
fBodyAccMag-mean()					Fourier Body Acceleration Magnitute mean()
fBodyAccMag-std()					Fourier Body Acceleration Magnitute Standard deviation()
fBodyAccMag-mad()					Fourier Body Acceleration Magnitute Median absolute deviation()
fBodyAccMag-max()					Fourier Body Acceleration Magnitute max()
fBodyAccMag-min()					Fourier Body Acceleration Magnitute min()
fBodyAccMag-sma()					Fourier Body Acceleration Magnitute Signal magnitude area()
fBodyAccMag-energy()				Fourier Body Acceleration Magnitute energy()
fBodyAccMag-iqr()					Fourier Body Acceleration Magnitute Interquartile range()
fBodyAccMag-entropy()				Fourier Body Acceleration Magnitute entropy()
fBodyAccMag-maxInds					Fourier Body Acceleration Magnitute Max index
fBodyAccMag-meanFreq()				Fourier Body Acceleration Magnitute meanFreq()
fBodyAccMag-skewness()				Fourier Body Acceleration Magnitute skewness()
fBodyAccMag-kurtosis()				Fourier Body Acceleration Magnitute kurtosis()
fBodyBodyAccJerkMag-mean()			Fourier Body Acceleration Jerk Magnitute mean()
fBodyBodyAccJerkMag-std()			Fourier Body Acceleration Jerk Magnitute Standard deviation()
fBodyBodyAccJerkMag-mad()			Fourier Body Acceleration Jerk Magnitute Median absolute deviation()
fBodyBodyAccJerkMag-max()			Fourier Body Acceleration Jerk Magnitute max()
fBodyBodyAccJerkMag-min()			Fourier Body Acceleration Jerk Magnitute min()
fBodyBodyAccJerkMag-sma()			Fourier Body Acceleration Jerk Magnitute Signal magnitude area()
fBodyBodyAccJerkMag-energy()		Fourier Body Acceleration Jerk Magnitute energy()
fBodyBodyAccJerkMag-iqr()			Fourier Body Acceleration Jerk Magnitute Interquartile range()
fBodyBodyAccJerkMag-entropy()		Fourier Body Acceleration Jerk Magnitute entropy()
fBodyBodyAccJerkMag-maxInds			Fourier Body Acceleration Jerk Magnitute Max index                  
fBodyBodyAccJerkMag-meanFreq()		Fourier Body Acceleration Jerk Magnitute meanFreq()
fBodyBodyAccJerkMag-skewness()		Fourier Body Acceleration Jerk Magnitute skewness()
fBodyBodyAccJerkMag-kurtosis()		Fourier Body Acceleration Jerk Magnitute kurtosis()
fBodyBodyGyroMag-mean()				Fourier Body Gyro Magnitute mean()
fBodyBodyGyroMag-std()				Fourier Body Gyro Magnitute Standard deviation()
fBodyBodyGyroMag-mad()				Fourier Body Gyro Magnitute Median absolute deviation()
fBodyBodyGyroMag-max()				Fourier Body Gyro Magnitute max()
fBodyBodyGyroMag-min()				Fourier Body Gyro Magnitute min()
fBodyBodyGyroMag-sma()				Fourier Body Gyro Magnitute Signal magnitude area()
fBodyBodyGyroMag-energy()			Fourier Body Gyro Magnitute energy()
fBodyBodyGyroMag-iqr()				Fourier Body Gyro Magnitute Interquartile range()
fBodyBodyGyroMag-entropy()			Fourier Body Gyro Magnitute entropy()                               
fBodyBodyGyroMag-maxInds			Fourier Body Gyro Magnitute Max index
fBodyBodyGyroMag-meanFreq()			Fourier Body Gyro Magnitute meanFreq()
fBodyBodyGyroMag-skewness()			Fourier Body Gyro Magnitute skewness()
fBodyBodyGyroMag-kurtosis()			Fourier Body Gyro Magnitute kurtosis()
fBodyBodyGyroJerkMag-mean()			Fourier Body Gyro Jerk Magnitute mean()
fBodyBodyGyroJerkMag-std()			Fourier Body Gyro Jerk Magnitute Standard deviation()
fBodyBodyGyroJerkMag-mad()			Fourier Body Gyro Jerk Magnitute Median absolute deviation()
fBodyBodyGyroJerkMag-max()			Fourier Body Gyro Jerk Magnitute max()
fBodyBodyGyroJerkMag-min()			Fourier Body Gyro Jerk Magnitute min()
fBodyBodyGyroJerkMag-sma()			Fourier Body Gyro Jerk Magnitute Signal magnitude area()
fBodyBodyGyroJerkMag-energy()		Fourier Body Gyro Jerk Magnitute energy()
fBodyBodyGyroJerkMag-iqr()			Fourier Body Gyro Jerk Magnitute Interquartile range()
fBodyBodyGyroJerkMag-entropy()		Fourier Body Gyro Jerk Magnitute entropy()
fBodyBodyGyroJerkMag-maxInds		Fourier Body Gyro Jerk Magnitute Max index
fBodyBodyGyroJerkMag-meanFreq()		Fourier Body Gyro Jerk Magnitute meanFreq()
fBodyBodyGyroJerkMag-skewness()		Fourier Body Gyro Jerk Magnitute skewness()
fBodyBodyGyroJerkMag-kurtosis()		Fourier Body Gyro Jerk Magnitute kurtosis()
angle(tBodyAccMean,gravity)			angle(Body Acceleration Mean,gravity)
angle(tBodyAccJerkMean),gravityMean)angle(Body Acceleration Jerk Mean),gravityMean)
angle(tBodyGyroMean,gravityMean)	angle(Body Gyro Mean,gravityMean)
angle(tBodyGyroJerkMean,gravityMean)angle(Body Gyro Jerk Mean,gravityMean)
angle(X,gravityMean)				angle(X,gravityMean)
angle(Y,gravityMean)				angle(Y,gravityMean)
angle(Z,gravityMean)				angle(Z,gravityMean)
